date,transactions
04-11-2016,85762
05-11-2016,88820
06-11-2016,92150
07-11-2016,83114
08-11-2016,79917
09-11-2016,80077
10-11-2016,72768
11-11-2016,78815
12-11-2016,92716
13-11-2016,98409
14-11-2016,77317
15-11-2016,76651
16-11-2016,81603
17-11-2016,74999
18-11-2016,81854
19-11-2016,94791
20-11-2016,96368
21-11-2016,81536
22-11-2016,80748
23-11-2016,82390
24-11-2016,76479
25-11-2016,86981
26-11-2016,96748
27-11-2016,95628
28-11-2016,79717
29-11-2016,74449
30-11-2016,80680
01-12-2016,84647
02-12-2016,86775
03-12-2016,102429
04-12-2016,103907
05-12-2016,88947
06-12-2016,92700
07-12-2016,88699
08-12-2016,82550
09-12-2016,90723
10-12-2016,100618
11-12-2016,101077
12-12-2016,86093
13-12-2016,85927
14-12-2016,89417
15-12-2016,91525
16-12-2016,99717
17-12-2016,114465
18-12-2016,116289
19-12-2016,106760
20-12-2016,116392
21-12-2016,132060
22-12-2016,138892
23-12-2016,156932
24-12-2016,167542
26-12-2016,105524
27-12-2016,95643
28-12-2016,103717
29-12-2016,102665
30-12-2016,127771
31-12-2016,135568
